host_is_superhost,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,price,review_scores_rating,reviews_per_month
0,1,Crown Heights,Brooklyn,40.67478,-73.95165,Entire rental unit,Entire home/apt,2,1.0,1,73,4.36,0.77
0,1,East Village,Manhattan,40.72334,-73.97719000000001,Entire rental unit,Entire home/apt,4,0.5,2,185,4.68,1.08
0,0,Park Slope,Brooklyn,40.67487,-73.97636999999999,Entire residential home,Entire home/apt,5,2.0,3,900,4.39,0.32
1,4,Harlem,Manhattan,40.80687,-73.95333000000001,Entire rental unit,Entire home/apt,6,1.0,2,399,4.88,0.19
0,1,Williamsburg,Brooklyn,40.71836,-73.95588000000001,Entire rental unit,Entire home/apt,3,1.0,1,145,4.71,0.07
0,0,Chelsea,Manhattan,40.74853,-74.00241,Entire rental unit,Entire home/apt,2,1.0,1,295,4.96,0.23
0,1,West Village,Manhattan,40.7304,-74.00228,Entire rental unit,Entire home/apt,4,1.0,1,175,4.88,0.16
0,2,Williamsburg,Brooklyn,40.71345,-73.94289,Entire residential home,Entire home/apt,6,1.0,2,300,4.88,1.38
1,4,Upper West Side,Manhattan,40.79999,-73.96338,Entire rental unit,Entire home/apt,4,1.0,2,150,4.73,2.34
0,1,Windsor Terrace,Brooklyn,40.64847,-73.97573,Entire rental unit,Entire home/apt,4,1.0,2,150,5.0,0.09
0,1,Upper East Side,Manhattan,40.78422,-73.95133,Entire rental unit,Entire home/apt,4,1.0,2,250,0.0,0.0
0,0,Harlem,Manhattan,40.81862,-73.94518000000001,Entire rental unit,Entire home/apt,16,0.0,4,100,0.0,0.0
0,1,Lower East Side,Manhattan,40.7203,-73.98424,Entire rental unit,Entire home/apt,5,2.0,2,250,4.97,0.82
0,1,Williamsburg,Brooklyn,40.71584,-73.96355,Entire rental unit,Entire home/apt,2,1.0,1,160,4.94,0.24
0,1,Astoria,Queens,40.75684,-73.91286,Entire residential home,Entire home/apt,3,1.0,2,149,4.85,4.29
0,1,Park Slope,Brooklyn,40.67231,-73.97878,Entire rental unit,Entire home/apt,2,1.0,1,150,0.0,0.0
1,3,Harlem,Manhattan,40.80494,-73.94998000000001,Entire rental unit,Entire home/apt,8,1.0,2,300,4.84,3.04
0,1,Bedford-Stuyvesant,Brooklyn,40.68096,-73.94062,Entire loft,Entire home/apt,4,1.0,1,65,4.44,0.79
0,1,Williamsburg,Brooklyn,40.71596,-73.96016999999999,Entire rental unit,Entire home/apt,2,1.0,1,158,4.74,1.88
0,2,Williamsburg,Brooklyn,40.71174,-73.95798,Entire townhouse,Entire home/apt,6,2.5,3,500,4.98,0.9
1,1,Crown Heights,Brooklyn,40.67188,-73.95097,Entire rental unit,Entire home/apt,2,1.0,1,130,4.21,0.25
0,5,East Village,Manhattan,40.72641,-73.98711,Entire rental unit,Entire home/apt,5,1.0,1,132,4.07,3.0
0,2,Upper West Side,Manhattan,40.79864,-73.96209,Entire rental unit,Entire home/apt,6,1.0,2,250,4.64,1.65
0,1,Carroll Gardens,Brooklyn,40.68194,-73.99708000000001,Entire rental unit,Entire home/apt,6,2.0,3,350,4.83,0.07
0,2,Windsor Terrace,Brooklyn,40.65891,-73.98555999999999,Entire guest suite,Entire home/apt,2,1.0,1,95,4.58,1.27
0,2,Williamsburg,Brooklyn,40.708290000000005,-73.96564000000001,Entire loft,Entire home/apt,4,1.0,1,85,4.64,0.87
1,2,Gravesend,Brooklyn,40.60602,-73.97076,Entire rental unit,Entire home/apt,4,1.0,1,110,0.0,0.0
0,1,East Harlem,Manhattan,40.79179,-73.93972,Entire rental unit,Entire home/apt,2,1.0,1,79,5.0,0.12
0,0,Upper East Side,Manhattan,40.77969,-73.94726,Entire rental unit,Entire home/apt,4,2.0,3,250,4.74,0.47
1,14,Upper West Side,Manhattan,40.7751,-73.98595,Entire condominium (condo),Entire home/apt,9,2.5,2,2500,4.96,0.21
0,1,Chelsea,Manhattan,40.74088,-73.99538000000001,Entire condominium (condo),Entire home/apt,4,1.5,2,550,5.0,0.16
1,3,Nolita,Manhattan,40.72212,-73.99638,Entire rental unit,Entire home/apt,6,1.0,2,526,4.94,1.05
0,2,West Village,Manhattan,40.7364,-73.99834,Entire rental unit,Entire home/apt,4,1.0,2,165,4.71,0.64
1,2,Allerton,Bronx,40.86502,-73.85495999999999,Entire rental unit,Entire home/apt,5,1.0,1,150,4.66,2.99
0,1,Chelsea,Manhattan,40.73862,-73.99758,Entire rental unit,Entire home/apt,4,1.5,2,250,4.5,0.03
0,1,East Village,Manhattan,40.73345,-73.98809,Entire rental unit,Entire home/apt,2,1.0,1,165,4.87,0.87
1,1,East New York,Brooklyn,40.67346,-73.87263,Entire residential home,Entire home/apt,8,1.5,3,179,4.81,2.14
0,1,Crown Heights,Brooklyn,40.66941,-73.94988000000001,Entire rental unit,Entire home/apt,2,1.0,1,108,4.64,1.89
0,0,Upper East Side,Manhattan,40.7688,-73.95825,Entire rental unit,Entire home/apt,2,1.0,1,179,4.92,0.37
0,1,Prospect Heights,Brooklyn,40.67914,-73.96443000000001,Entire rental unit,Entire home/apt,2,1.0,1,175,4.77,0.6
1,1,Park Slope,Brooklyn,40.66836,-73.98165999999999,Entire rental unit,Entire home/apt,3,1.0,1,130,4.64,2.26
0,0,Hell's Kitchen,Manhattan,40.75876,-73.98869,Entire rental unit,Entire home/apt,3,1.5,1,450,4.98,0.45
1,1,Bedford-Stuyvesant,Brooklyn,40.6836,-73.95445,Entire townhouse,Entire home/apt,2,1.0,2,169,4.81,1.94
0,2,Stuyvesant Town,Manhattan,40.73125,-73.9811,Entire rental unit,Entire home/apt,2,1.0,1,125,4.44,0.18
0,0,Harlem,Manhattan,40.82553,-73.94511,Entire rental unit,Entire home/apt,4,1.0,1,150,0.0,0.02
0,1,Park Slope,Brooklyn,40.67466,-73.97853,Entire rental unit,Entire home/apt,4,1.0,1,190,4.84,1.31
0,1,Upper East Side,Manhattan,40.76922,-73.95648,Entire rental unit,Entire home/apt,4,1.0,1,190,5.0,0.07
0,5,Clinton Hill,Brooklyn,40.687,-73.96149,Entire residential home,Entire home/apt,8,1.0,2,388,4.54,0.63
0,1,Bedford-Stuyvesant,Brooklyn,40.68339,-73.94034,Entire residential home,Entire home/apt,3,1.0,1,145,4.88,1.18
0,1,Williamsburg,Brooklyn,40.72002,-73.94238,Entire rental unit,Entire home/apt,3,1.0,1,120,4.7,1.02
0,0,Williamsburg,Brooklyn,40.7125,-73.96598,Entire loft,Entire home/apt,2,1.0,1,190,4.88,0.64
0,2,Sheepshead Bay,Brooklyn,40.5847,-73.94088,Entire residential home,Entire home/apt,4,1.0,1,95,4.61,1.4
0,1,Williamsburg,Brooklyn,40.71955,-73.95470999999999,Entire rental unit,Entire home/apt,2,1.0,1,185,4.82,0.11
0,3,Bedford-Stuyvesant,Brooklyn,40.69049,-73.93212,Entire rental unit,Entire home/apt,4,1.0,2,70,4.56,0.47
0,3,Greenpoint,Brooklyn,40.72926,-73.9589,Entire rental unit,Entire home/apt,4,1.0,1,185,4.83,1.99
